code,search_term_fr,search_term_en
1.1,agroécologie,agroecology
1.1,contexte local,local context
1.1,résilience,resilience
1.1,santé des sols,soil health
1.1,systèmes agricoles,agricultural systems
1.1,systèmes alimentaires,food systems
1.2,export,export
1.2,label,label
1.2,import,import
1.2,foire,fair
1.2,débouché,outlet
1.2,marché,walk
1.3,cohérence,consistency
1.3,coordination,coordination
1.3,intersectoriel,intersectoral
1.3,secteur,sector
1.4,femme,women
1.4,genre,gender
1.4,égalité,equality
1.4,sexe,sex
1.4,équitable,fair
2.1,collecte,collection
2.1,données,data
2.1,analyse,analysis
2.1,partage,sharing
2.1,vulgarisation,popularization
2.1,enseignements,lessons
2.1,résultats,results
2.1,évaluation,assessment
2.2,études,studies
2.2,résultats,results
2.2,valuations,ratings
2.2,analyses,analyzes
2.2,conditions d'emploi,conditions of employment
2.2,alimentation,food
2.2,régimes alimentaires,diets
2.2,nutrition,nutrition
2.2,autonomisation des femmes,women empowerment
2.2,revenus,income
2.3,sécurité alimentaire,food safety
2.3,nutrition,nutrition
2.3,agroécologie,agroecology
2.4,transition,transition
2.4,systèmes durables,sustainable systems
2.4,étude,study
2.4,analyse,analysis
3.1,diversification,diversification
3.1,promouvoir,promote
3.1,durable,sustainable
3.1,atelier,workshop
3.1,vulgarisation,popularization
3.1,sensibiliser,to raise awareness
3.1,spécaliser,to specialize
3.1,monoculture,monoculture
3.1,spécialisation,specialization
3.1,exportation,export
3.1,corridor,corridor
3.1,monoculture,monoculture
3.1,export,export
3.1,moderne,modern
3.2,pesticides,pesticides
3.2,lutte biologique,biological control
3.2,plantes mélifères,honey plants
3.2,diversification,diversification
3.2,produits chimiques,chemicals
3.2,biodiversité,biodiversity
3.3,microentreprises,microenterprises
3.3,investissement,investment
3.3,innovation,innovation
3.3,sociale,social
3.3,local,local
3.3,femmes,women
3.3,petits producteurs,small producers
3.4,marchés,markets
3.4,label,label
3.4,circuits-courts,short circuits
3.4,local,local
3.4,urbain sensibilisation,urban awareness
3.4,liens,links
3.4,mise en relation,connection
3.4,partenariats,partnerships
3.5,sensibiliser,to raise awareness
3.5,vulgariser,popularize
3.5,Koronivia,Koronivia
3.5,ODD,SDGs
3.5,objectifs de développement durable,sustainable development goals
3.5,agroécologie,agroecology
3.5,agriculture biologique,organic farming
3.5,agriculture naturelle,natural farming
3.6,autonomie,autonomy
3.6,indépendance,independence
3.6,recyclage,recycling
3.6,santé des sols,soil health
3.6,biodiversité,biodiversity
3.6,légumineuses,legumes
3.6,intrants,inputs
3.6,pesticides,pesticides
3.6,produits chimiques,chemicals
3.6,organique,organic
3.6,compost,compost
4.1,recherche,research
4.1,science,science
4.1,financement,funding
4.1,financer,finance
4.2,apprentissage,learning
4.2,champ école,school field
4.2,ferme,farm
4.2,plateforme,platform
4.2,connaissance,awareness
4.2,transdisciplinaire,transdisciplinary
4.2,communauté de pratiques,community of practice
4.2,recherche,research
4.3,participatif,participatory
4.3,participative,participatory
4.3,participation,participation
4.3,groupes vulnérables,vulnerable groups
4.3,recherche-action,action research
4.3,expérimentation,experimentation
4.5,partage de connaissances,knowledge sharing
4.5,horizontal,horizontal
4.5,expérience,experience
4.5,expérimentation,experimentation
4.5,producteurs,producers
4.5,autochtones,indigenous
4.5,communautés locales,local communities
5.1,droits de propriété,property rights
5.1,autochtone,indigenous
5.1,producteur,producer
5.1,foncier,land
5.2,participation,participation
5.2,groupe marginalisé,marginalized group
5.2,groupe vulnérable,vulnerable group
5.2,décision,decision
5.3,autonomisation,empowerment
5.3,femme,women
5.3,agriculture familiale,family farming
5.3,action collective,collective action
5.3,accès,access
5.3,contrôle,control
5.4,marchés,markets
5.4,local,local
5.4,liens,links
5.4,communautés,communities
5.4,production alimentaire,food production
5.4,coopérative,cooperative
5.4,consommateur,consumer
5.4,plateforme,platform
5.4,circuits courts,short circuits
